date,feature_index,temperature-mean
2021-02-04T00:00:00.000Z,0,27959.599326599327
2021-02-02T00:00:00.000Z,0,27874.58585858586
2021-07-06T00:00:00.000Z,0,29572.228956228955
2021-07-07T00:00:00.000Z,0,29550.478114478115
2021-07-04T00:00:00.000Z,0,29565.73400673401
2021-07-05T00:00:00.000Z,0,29584.744107744107
2021-04-17T00:00:00.000Z,0,28259.350168350167
2021-04-15T00:00:00.000Z,0,28236.47138047138
2021-04-16T00:00:00.000Z,0,28186.969696969696
2021-04-18T00:00:00.000Z,0,28369.356902356903
2021-07-10T00:00:00.000Z,0,29902.104377104377
2021-07-08T00:00:00.000Z,0,29809.52525252525
2021-07-09T00:00:00.000Z,0,29796.96632996633
2021-07-11T00:00:00.000Z,0,29912.390572390574
2021-01-18T00:00:00.000Z,0,26097.92255892256
2021-01-17T00:00:00.000Z,0,26356.444444444445
2021-01-20T00:00:00.000Z,0,26405.350168350167
2021-01-19T00:00:00.000Z,0,26074.555555555555
2021-02-08T00:00:00.000Z,0,27047.727272727272
2021-02-06T00:00:00.000Z,0,27059.555555555555
2021-02-07T00:00:00.000Z,0,26892.895622895623
2021-02-09T00:00:00.000Z,0,27508.744107744107
2021-06-28T00:00:00.000Z,0,29698.037037037036
2021-06-26T00:00:00.000Z,0,29934.53872053872
2021-06-29T00:00:00.000Z,0,29688.48148148148
2021-06-27T00:00:00.000Z,0,29720.037037037036
2021-06-30T00:00:00.000Z,0,29663.713804713803
2021-07-03T00:00:00.000Z,0,29713.98653198653
2021-07-02T00:00:00.000Z,0,29813.451178451178
2021-07-01T00:00:00.000Z,0,29785.760942760942
2021-01-12T00:00:00.000Z,0,27212.959595959597
2021-01-09T00:00:00.000Z,0,27416.663299663298
2021-01-10T00:00:00.000Z,0,27309.73400673401
2021-01-11T00:00:00.000Z,0,27206.52861952862
2021-06-04T00:00:00.000Z,0,28913.646464646463
2021-06-02T00:00:00.000Z,0,28856.17845117845
2021-06-03T00:00:00.000Z,0,28785.16835016835
2021-06-05T00:00:00.000Z,0,29122.872053872055
2021-07-28T00:00:00.000Z,0,29971.47474747475
2021-07-29T00:00:00.000Z,0,29975.23232323232
2021-06-08T00:00:00.000Z,0,29215.962962962964
2021-06-07T00:00:00.000Z,0,29107.905723905726
2021-06-06T00:00:00.000Z,0,29075.93265993266
2021-06-09T00:00:00.000Z,0,29277.164983164985
